Ano;Departamento;gabinete;sector;subsector;institucion;proyecto;monto;
2019;Cortés;Gabinete Social;Promoción y Protección Humana;Protección Social;Dirección Nacional del Programa Ciudad Mujer;Centros de Atención Integral para mejorar las condiciones de vida de las mujeres hondureñas (Ciudad Mujer);1897046.000000000000000000000000000000;
2019;Cortés;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;ATENCIÓN A MUJERES, JÓVENES, NIÑOS Y NIÑAS EN SITUACIÓN DE VIOLENCIA Y RIESGO SOCIAL;1527326.000000000000000000000000000000;
2019;Cortés;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;BOLSON ESCOLAR Y EQUIPO DE UTILES;499735.000000000000000000000000000000;
2019;Cortés;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;CENTROS DE ATENCIÓN A PERSONAS  CON CAPACIDADES ESPECIALES Y ADULTOS MAYORES EN SITUACIÓN DE VULNERABILIDAD;3857215.000000000000000000000000000000;
2019;Cortés;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;OPORTUNIDADES PARA MADRES Y JOVENES COMO ESTRATEGIA DE SALIDA DEL BONO VIDA MEJOR;2567300.000000000000000000000000000000;
2019;Cortés;Gabinete Social;Promoción y Protección Humana;Salud;Secretaría de Salud;PROGRAMA APOYO A LA RED DE INCLUSIÓN SOCIAL CON PRIORIDAD EN OCCIDENTE;32522933.000000000000000000000000000000;
2019;Cortés;Gabinete de Infraestructura, Servicios y Empr;Comunicaciones y Energía;Energía;Empresa Nacional de Energía Eléctrica;PROYECTO DE REHABILITACIÓN Y REPOTENCIACIÓN DEL COMPLEJO HIDROELÉCTRICO CAÑAVERAL-RÍO LINDO;785428864.000000000000000000000000000000;
2019;Cortés;Gabinete de Prevención, Seguridad y Defensa;Fortalecimiento Institucional;Seguridad Y Defensa;Secretaría de Seguridad;PROGRAMA DE CONVIVENCIA CIUDADANA Y MEJORAMIENTO DE BARRIOS;34299360.000000000000000000000000000000;
2019;El Paraíso;Gabinete de Infraestructura, Servicios y Empr;Agroforestal y Turismo;Desarrollo Productivo;Cuenta del Desafío del Milenio-Honduras;ALIANZA PARA EL CORREDOR SECO (USAID-GAFSP);44493529.000000000000000000000000000000;
2019;El Paraíso;Gabinete Económico;Fortalecimiento Institucional;Modernización Del Estado;Secretaría de Finanzas;MANEJO SOSTENIBLE DE BOSQUES;6007825.000000000000000000000000000000;
